Channel,0.10% Threshold,x_mpv,xi,gauss_sigma,x_mpv Error,xi Error,gauss_sigma Error,chi2/ndof Statistic,chi2/ndof P-Value
0,42.552236078305526,87.5802995392492,8.084707365485494,24.22071331034601,1.4471370307415654,0.6478792727845563,2.349581329358785,5.729250883209332,1.3260497402684478e-27
1,54.59911714627998,99.48730034416357,7.784609821076077,28.912040999234936,1.480004142483224,0.6367183798659268,2.218445191927452,3.7987884695065435,6.564919956032939e-15
2,27.62929150649619,49.83467084830446,3.4799474018113457,16.201907813811424,0.8321186076865374,0.3386502620358586,1.150399866569949,5.015615642553327,8.763332882203559e-23
