Channel,K,mu,sigma,K Error,mu Error,sigma Error,chi2/ndof Statistic,chi2/ndof P-Value
0,4.009847163458148,1063.6107804150527,166.3163334774837,0.41152209123428324,9.634575339522549,12.332461858387925,1.2197735948974744,0.09602454974936707
1,3.2414256296405264,928.0802485975644,177.57595386183013,0.36085740527169247,10.611156540817,13.380411010087249,1.6269143042673941,0.003688462353029997
2,3.9339644394932787,468.83866292059065,82.61044837271392,0.2597217299860251,3.016708553782472,3.9376076933451096,3.338600865328293,4.309509805315233e-12
