Channel,0.10% Threshold,x_mpv,xi,gauss_sigma,x_mpv Error,xi Error,gauss_sigma Error,chi2/ndof Statistic,chi2/ndof P-Value
0,53.9712561923929,124.66649259040197,7.8142395022298965,37.116750109374955,2.032849552259926,0.8266221726496462,2.6580978094872867,5.231202222774579,3.1577740288514636e-24
1,55.155836274234645,104.96652460716591,7.524693985334058,32.84697456873512,1.8013509083335073,0.748409409709197,2.516980801631401,4.553401436035397,9.850977393195439e-20
2,31.372119921521485,48.13702053997984,3.6535889896730436,21.65112159354851,0.9622909149745877,0.37771317388101805,1.4251529191049008,3.815353347350685,5.174200373901843e-15
