Channel,K,mu,sigma,K Error,mu Error,sigma Error,chi2/ndof Statistic,chi2/ndof P-Value
0,3.191760838880492,1089.808828573475,197.14262556750325,0.23473047184030152,7.885255746805591,9.715465008490856,3.008930597379315,1.4843648770636237e-15
1,4.284809039407661,911.5962468887128,141.59780395249646,0.2604301952273768,4.91731027610886,6.3474592057213375,1.2225967038092989,0.06762964468438687
2,3.9816347984440648,470.89629037485435,80.42334961432647,0.24039400386266233,2.680321154376318,3.520831570924249,4.884858251756965,1.7493338537207788e-35
