Channel,K,mu,sigma,K Error,mu Error,sigma Error,chi2/ndof Statistic,chi2/ndof P-Value
0,2.9479151324783777,817.1172551115762,161.8436074927822,0.3958258448759269,11.619367071452682,14.171794230177557,2.776327271781893,7.950240037025725e-09
1,3.2970880819390906,905.836062679679,162.39898086860475,0.2196786376754518,5.902083508257133,7.352382044964469,1.3164848313727693,0.05006428112378338
2,3.4730560014875453,448.1901736126157,87.80619369063038,0.17156822179956638,2.295063369903965,3.0226317856480818,6.158052950454769,1.4917143844953564e-30
